"Rank","Name","Symbol","earnings_ttm","price (USD)","country"
"178","Omron","6645.T","425474000","34.93","Japan"
"179","SCSK Corporation","9719.T","417983000","18.57","Japan"
"180","ZOZO","3092.T","411175000","24.32","Japan"
"181","Koei Tecmo","3635.T","404158000","10.63","Japan"
"182","Yamato Holdings","9064.T","398424000","14.24","Japan"
"183","INFRONEER Holdings","5076.T","397436000","9.37","Japan"
"184","ABC-Mart","2670.T","396751000","19.35","Japan"
"185","Daifuku","6383.T","390098000","22.84","Japan"
"186","Hamamatsu","6965.T","387887000","35.18","Japan"
"187","Iida Group","3291.T","385254000","12.85","Japan"
"188","Sega Sammy Holdings","6460.T","373017000","13.04","Japan"
"189","Toho Co.","9602.T","371311000","31.96","Japan"
"190","Nissan Chemical","4021.T","360366000","37.15","Japan"
"191","Ibiden","4062.T","357666000","41.68","Japan"
"192","Nikon","NINOY","353173000","10.282","Japan"
"193","ASICS Corporation","7936.T","352361000","47.53","Japan"
"194","NOF Corporation","4403.T","339428000","13.51","Japan"
"195","Tokai Carbon","5301.T","326190000","6.73","Japan"
"196","ALSOK","2331.T","318796000","5.49","Japan"
"197","TOTO","5332.T","316917000","28.28","Japan"
"198","Tsuruha Holdings","3391.T","315678000","70.7","Japan"
"199","Ryohin Keikaku","7453.T","313391000","16.98","Japan"
"200","Welcia Holdings","3141.T","309725000","16.34","Japan"
"201","Isetan Mitsukoshi Holdings","3099.T","307321000","16.03","Japan"
"202","Shiseido","4911.T","306663000","26.94","Japan"
"203","Makita","6586.T","302565000","28.44","Japan"
"204","Nifco Inc.","7988.T","297290000","25.3","Japan"
"205","Nippon Building Fund","8951.T","293078000","3982.39","Japan"
"206","Santen Pharmaceutical","4536.T","289935000","9.5","Japan"
"207","Rohto Pharmaceutical","4527.T","288714000","19.34","Japan"
"208","Nippon Express","9147.T","284296000","51.24","Japan"
"209","Rinnai Corporation","5947.T","272287000","22.27","Japan"
"210","MISUMI Group","9962.T","270059000","14.79","Japan"
"211","Yamaha","7951.T","269255000","21.4","Japan"
"212","Square Enix","9684.T","264514000","36.94","Japan"
"213","Meitetsu","9048.T","261184000","14.01","Japan"
"214","McDonald's Japan","2702.T","258480000","45.55","Japan"
"215","Trend Micro","4704.T","254475000","51.82","Japan"
"216","Kobe Bussan","3038.T","252136000","23.76","Japan"
"217","Adeka Corporation","4401.T","239673000","21.84","Japan"
"218","COSMOS Pharmaceutical","3349.T","233809000","90.54","Japan"
"219","GungHo Online Entertainment","3765.T","231368000","15.19","Japan"
"220","Nippon Shinyaku","4516.T","229145000","28.71","Japan"
"221","Japan Real Estate Investment","8952.T","222410000","3541.36","Japan"
"222","Citizen Watch","7762.T","215774000","6.89","Japan"
"223","Monotaro","3064.T","214601000","11.57","Japan"
"224","Nomura Real Estate Master Fund","3462.T","211838000","982.76","Japan"
"225","Glory Ltd.","6457.T","209712000","18.54","Japan"
"226","Nakanishi","7716.T","207099000","15.15","Japan"
"227","KOBAYASHI Pharmaceutical","4967.T","204975000","36.76","Japan"
"228","Shinkin Central Bank","8421.T","193129000","1735.14","Japan"
"229","Kokuyo","7984.T","190858000","16.56","Japan"
"230","Nippon Prologis REIT","3283.T","189945000","1729.21","Japan"
"231","CyberAgent","4751.T","189205000","6.98","Japan"
"232","Kosé","4922.T","187894000","50.96","Japan"
"233","GLP J-REIT","3281.T","185901000","820.17","Japan"
"234","Dexerials Corporation","4980.T","182949000","39.02","Japan"
"235","Workman","7564.T","171995000","26.1","Japan"
"236","Aica Kogyo Company","4206.T","165628000","24.8","Japan"
"237","TechnoPro Holdings","6028.T","163266000","19.76","Japan"
"238","TS TECH","7313.T","163136000","13.15","Japan"
"239","Pilot Corporation","7846.T","161490000","27.53","Japan"
"240","MIRAIT ONE Corporation","1417.T","159228000","12.67","Japan"
"241","GMO Payment Gateway","3769.T","158629000","54.75","Japan"
"242","Asahi Intecc","7747.T","152265000","16.04","Japan"
"243","Lion Corp","4912.T","148524000","9.01","Japan"
"244","Net One Systems","7518.T","138702000","17.95","Japan"
"245","Mercari","4385.T","138134000","12.07","Japan"
"246","TODA corp","1860.T","136275000","6.56","Japan"
"247","Japan Airport Terminal","9706.T","134643000","37.32","Japan"
"248","Maruwa","5344.T","133867000","226.77","Japan"
"249","Astellas Pharma","4503.T","122619000","10.51","Japan"
"250","Mitsui High-tec","6966.T","119163000","51.68","Japan"
"251","Taisho Pharmaceutical","4581.T","117293000","56.48","Japan"
"252","PeptiDream","4587.T","115809000","10.01","Japan"
"253","AEON REIT Investment","3292.T","111690000","902.45","Japan"
"254","Toagosei","4045.T","105820000","10.51","Japan"
"255","Daiseki","9793.T","105689000","21.39","Japan"
"256","CASIO","6952.T","101598000","8.98","Japan"
"257","Kadokawa","9468.T","98846700","18.06","Japan"
"258","Mixi","2121.T","92639000","17.15","Japan"
"259","Gree","3632.T","88879000","3.15","Japan"
"260","SWCC Corporation","5805.T","88549700","24.12","Japan"
"261","Nitta Corporation","5186.T","83153300","26.07","Japan"
"262","BML, Inc.","4694.T","81123700","19.28","Japan"
"263","Sakata Seed","1377.T","80654000","23.99","Japan"
"264","Pigeon","7956.T","79122300","9.41","Japan"
"265","AS ONE Corporation","7476.T","78522600","17.04","Japan"
"266","Meiko Electronics","6787.T","78374600","34.23","Japan"
"267","Riken Keiki","7734.T","76714300","23.89","Japan"
"268","Sapporo","2501.T","72652100","40.35","Japan"
"269","J.S.B.Co.","3480.T","72379700","17.4","Japan"
"270","Monex Group","8698.T","68687600","5.94","Japan"
"271","West Holdings","1407.T","68307000","17.94","Japan"
"272","World Holdings","2429.T","66500900","15.94","Japan"
"273","Happinet","7552.T","60346900","18.96","Japan"
"274","Mitsui Fudosan Logistics Park","3471.T","59278400","2958.81","Japan"
"275","Kyokuyo","1301.T","49240900","24.19","Japan"
"276","Earth Corporation","4985.T","48245100","28.04","Japan"
"277","Computer Engineering &amp; Consulting","9692.T","43716700","10.35","Japan"
"278","KYORIN Pharmaceutical","4569.T","43333300","11.98","Japan"
"279","Fujimori Kogyo","7917.T","43146600","28.57","Japan"
"280","YAKUODO HOLDINGS","7679.T","37229700","17.51","Japan"
"281","UNITED","2497.T","36816600","5.63","Japan"
"282","Maruzen","5982.T","34288100","19.23","Japan"
"283","Akatsuki Corp.","8737.T","29867600","3.27","Japan"
"284","SRA Holdings","3817.T","28534200","25.8","Japan"
"285","Eiken Chemical","4549.T","26957500","13.15","Japan"
"286","AGC","5201.T","26878500","36.72","Japan"
"287","Digital Garage","4819.T","26335600","20.31","Japan"
"288","FuRyu","6238.T","24505800","8.21","Japan"
"289","Weathernews Inc.","4825.T","23031100","32.48","Japan"
"290","Harmonic Drive Systems","6324.T","22885300","26.23","Japan"
"291","Fujibo Holdings","3104.T","20724600","28.11","Japan"
"292","Bank of Innovation","4393.T","19489300","26.72","Japan"
"293","COLOPL","3668.T","17694500","4.02","Japan"
"294","Bushiroad","7803.T","17259300","2.43","Japan"
"295","AlphaPolis","9467.T","16082300","13.01","Japan"
"296","CAVE Interactive","3760.T","15270900","11.01","Japan"
"297","OPTiM","3694.T","15224600","6.31","Japan"
"298","CROOZ","2138.T","13512200","5.17","Japan"
"299","Akatsuki Inc","3932.T","11867500","16.14","Japan"
"300","Nihon Falcom","3723.T","11357400","7.99","Japan"
"301","Kayak Inc","3904.T","7881470","4.74","Japan"
"302","Marvelous","7844.T","7586640","4.54","Japan"
"303","Mobile Factory","3912.T","7134430","4.75","Japan"
"304","Nippon Ichi Software","3851.T","7043350","6.97","Japan"
"305","Aeria","3758.T","6444400","2.32","Japan"
"306","Lead Real Estate","LRE","6050410","4.0281","Japan"
"307","Serverworks","4434.T","5073750","22.12","Japan"
"308","SYLA Technologies","SYT","5013110","2.75","Japan"
"309","Appirits","4174.T","3944840","7.98","Japan"
"310","TENDA","4198.T","3640580","14.87","Japan"
"311","Tose Software","4728.T","2501870","4.65","Japan"
"312","WonderPlanet","4199.T","2324300","7.9","Japan"
"313","NJ Holdings","9421.T","2243500","4.15","Japan"
"314","Drecom","3793.T","1992160","6.92","Japan"
"315","Ateam","3662.T","1723740","4.23","Japan"
"316","Silicon Studio","3907.T","1673820","7.56","Japan"
"317","geechs","7060.T","1314740","3.52","Japan"
"318","Taiyo Yuden","6976.T","1164950","23.43","Japan"
"319","Edia","3935.T","925510","2.46","Japan"
"320","Imagineer","4644.T","687994","6.46","Japan"
"321","Warrantee Inc.","WRNT","337092","0.4335","Japan"
"322","Axel Mark","3624.T","-402471","1.7","Japan"
"323","Gala Incorporated","4777.T","-527766","1.57","Japan"
"324","Voltage","3639.T","-768751","1.72","Japan"
"325","Aiming Inc","3911.T","-1152560","1.49","Japan"
"326","Mobcast","3664.T","-1872680","0.34","Japan"
"327","Coca-Cola Bottlers Japan","2579.T","-1900590","14.48","Japan"
"328","AltPlus","3672.T","-2370290","0.87","Japan"
"329","Earlyworks","ELWS","-2870730","0.7","Japan"
"330","gumi","3903.T","-4365410","2.63","Japan"
"331","KLab","3656.T","-4975900","2.06","Japan"
"332","coly","4175.T","-6113230","6.22","Japan"
"333","Yuke's","4334.T","-7664080","2.88","Japan"
"334","enish","3667.T","-8505460","1.46","Japan"
"335","Mynet","3928.T","-10225600","2.22","Japan"
"336","CyberStep","3810.T","-12091000","1.78","Japan"
"337","PLAID,Inc.","4165.T","-13529600","4.39","Japan"
"338","Pixie Dust Technologies","PXDT","-14200500","2.4","Japan"
"339","Sun Corp","6736.T","-24667400","22.41","Japan"
"340","DeNA","2432.T","-201840000","10.24","Japan"
"341","Asahi Kasei","3407.T","-531164000","7.28","Japan"
"342","IHI Corporation","7013.T","-621427000","25.96","Japan"
"343","Sumitomo Pharma","4506.T","-965237000","2.69","Japan"
"344","Sumitomo Chemical","4005.T","-1305710000","2.3","Japan"
"345","Rakuten","4755.T","-1389250000","5.83","Japan"
"346","Sharp Corporation","6753.T","-1823180000","5.43","Japan"
