"Rank","Name","Symbol","revenue_ttm","price (USD)","country"
"204","Odakyu Electric Railway","9007.T","2772426644","12.71","Japan"
"205","McDonald's Japan","2702.T","2690017630","45.55","Japan"
"206","Ibiden","4062.T","2689284995","41.68","Japan"
"207","Tokai Carbon","5301.T","2599877679","6.73","Japan"
"208","MISUMI Group","9962.T","2566303303","14.79","Japan"
"209","Nifco Inc.","7988.T","2546194125","25.3","Japan"
"210","Square Enix","9684.T","2434429849","36.94","Japan"
"211","Konami Holdings","9766.T","2405376330","65.82","Japan"
"212","Glory Ltd.","6457.T","2374254948","18.54","Japan"
"213","Happinet","7552.T","2372030676","18.96","Japan"
"214","ABC-Mart","2670.T","2348746289","19.35","Japan"
"215","Kokuyo","7984.T","2338660824","16.56","Japan"
"216","Sumitomo Pharma","4506.T","2337183048","2.69","Japan"
"217","Taisho Pharmaceutical","4581.T","2254751641","56.48","Japan"
"218","Taiyo Yuden","6976.T","2212181906","23.43","Japan"
"219","Kosé","4922.T","2211332549","50.96","Japan"
"220","Citizen Watch","7762.T","2182976335","6.89","Japan"
"221","Santen Pharmaceutical","4536.T","2132395196","9.5","Japan"
"222","Acom","8572.T","2033917938","2.64","Japan"
"223","Disco Corp.","6146.T","1995637374","369.01","Japan"
"224","Toho Co.","9602.T","1883855740","31.96","Japan"
"225","CASIO","6952.T","1857661232","8.98","Japan"
"226","Rohto Pharmaceutical","4527.T","1856996252","19.34","Japan"
"227","Kyokuyo","1301.T","1834005339","24.19","Japan"
"228","Fukuoka Financial Group","8354.T","1825383050","26.3","Japan"
"229","Kadokawa","9468.T","1782446058","18.06","Japan"
"230","Shinkin Central Bank","8421.T","1775001350","1735.14","Japan"
"231","Monotaro","3064.T","1774959526","11.57","Japan"
"232","Trend Micro","4704.T","1761641056","51.82","Japan"
"233","Aica Kogyo Company","4206.T","1666220177","24.8","Japan"
"234","Oracle Corp Japan","4716.T","1663276992","72.77","Japan"
"235","M3, Inc","2413.T","1654603466","13.52","Japan"
"236","Nissan Chemical","4021.T","1587802664","37.15","Japan"
"237","Chiba Bank","CHBAY","1555370000","37.04","Japan"
"238","NOF Corporation","4403.T","1554856957","13.51","Japan"
"239","Hamamatsu","6965.T","1549536262","35.18","Japan"
"240","Net One Systems","7518.T","1511425888","17.95","Japan"
"241","SWCC Corporation","5805.T","1478425257","24.12","Japan"
"242","TechnoPro Holdings","6028.T","1478316802","19.76","Japan"
"243","World Holdings","2429.T","1447765155","15.94","Japan"
"244","Japan Airport Terminal","9706.T","1375421460","37.32","Japan"
"245","ZOZO","3092.T","1372784941","24.32","Japan"
"246","Mitsui High-tec","6966.T","1348677752","51.68","Japan"
"247","Lasertec","6920.T","1344282554","264.61","Japan"
"248","Mercari","4385.T","1269892658","12.07","Japan"
"249","Meiko Electronics","6787.T","1236850869","34.23","Japan"
"250","KOBAYASHI Pharmaceutical","4967.T","1230080279","36.76","Japan"
"251","Toagosei","4045.T","1138376664","10.51","Japan"
"252","Earth Corporation","4985.T","1116106832","28.04","Japan"
"253","Capcom","9697.T","1079697598","18","Japan"
"254","Japan Exchange Group","8697.T","1055811743","27.71","Japan"
"255","Mixi","2121.T","1042576430","17.15","Japan"
"256","Nippon Shinyaku","4516.T","1035189420","28.71","Japan"
"257","BML, Inc.","4694.T","992366630","19.28","Japan"
"258","YAKUODO HOLDINGS","7679.T","974953302","17.51","Japan"
"259","DeNA","2432.T","967869164","10.24","Japan"
"260","Workman","7564.T","940262968","26.1","Japan"
"261","GungHo Online Entertainment","3765.T","940124014","15.19","Japan"
"262","Fujimori Kogyo","7917.T","928961533","28.57","Japan"
"263","KYORIN Pharmaceutical","4569.T","847331189","11.98","Japan"
"264","Pilot Corporation","7846.T","839784955","27.53","Japan"
"265","OBIC","4684.T","768950937","141.42","Japan"
"266","Dexerials Corporation","4980.T","699225886","39.02","Japan"
"267","Asahi Intecc","7747.T","696952678","16.04","Japan"
"268","Nippon Building Fund","8951.T","669575477","3982.39","Japan"
"269","AS ONE Corporation","7476.T","665317382","17.04","Japan"
"270","Pigeon","7956.T","665176153","9.41","Japan"
"271","Koei Tecmo","3635.T","639125640","10.63","Japan"
"272","Nitta Corporation","5186.T","628749657","26.07","Japan"
"273","Monex Group","8698.T","572531322","5.94","Japan"
"274","Sakata Seed","1377.T","562750390","23.99","Japan"
"275","Nomura Real Estate Master Fund","3462.T","551727711","982.76","Japan"
"276","Gree","3632.T","511864741","3.15","Japan"
"277","Japan Real Estate Investment","8952.T","508045497","3541.36","Japan"
"278","Daiseki","9793.T","478445022","21.39","Japan"
"279","GMO Payment Gateway","3769.T","465682339","54.75","Japan"
"280","J.S.B.Co.","3480.T","453879573","17.4","Japan"
"281","Nippon Prologis REIT","3283.T","439042481","1729.21","Japan"
"282","Harmonic Drive Systems","6324.T","425417393","26.23","Japan"
"283","Maruzen","5982.T","421828303","19.23","Japan"
"284","Maruwa","5344.T","417613636","226.77","Japan"
"285","Nakanishi","7716.T","386091396","15.15","Japan"
"286","Computer Engineering &amp; Consulting","9692.T","375940314","10.35","Japan"
"287","GLP J-REIT","3281.T","371806880","820.17","Japan"
"288","Akatsuki Corp.","8737.T","339978101","3.27","Japan"
"289","Bushiroad","7803.T","329658305","2.43","Japan"
"290","West Holdings","1407.T","324204966","17.94","Japan"
"291","SRA Holdings","3817.T","317725622","25.8","Japan"
"292","Riken Keiki","7734.T","313660635","23.89","Japan"
"293","AEON REIT Investment","3292.T","300211830","902.45","Japan"
"294","FuRyu","6238.T","292567460","8.21","Japan"
"295","Eiken Chemical","4549.T","280900998","13.15","Japan"
"296","PeptiDream","4587.T","275368343","10.01","Japan"
"297","Fujibo Holdings","3104.T","249545330","28.11","Japan"
"298","Digital Garage","4819.T","247269836","20.31","Japan"
"299","COLOPL","3668.T","207868090","4.02","Japan"
"300","Marvelous","7844.T","202207456","4.54","Japan"
"301","Serverworks","4434.T","176167873","22.12","Japan"
"302","Ateam","3662.T","174831143","4.23","Japan"
"303","SYLA Technologies","SYT","168564216","2.75","Japan"
"304","Akatsuki Inc","3932.T","162075635","16.14","Japan"
"305","Aeria","3758.T","159718660","2.32","Japan"
"306","geechs","7060.T","154136739","3.52","Japan"
"307","Weathernews Inc.","4825.T","153077159","32.48","Japan"
"308","Mitsui Fudosan Logistics Park","3471.T","150746110","2958.81","Japan"
"309","Aiming Inc","3911.T","127649774","1.49","Japan"
"310","Kayak Inc","3904.T","126468808","4.74","Japan"
"311","Bank of Innovation","4393.T","121760299","26.72","Japan"
"312","Lead Real Estate","LRE","120474155","4.0281","Japan"
"313","CROOZ","2138.T","97027370","5.17","Japan"
"314","UNITED","2497.T","96642921","5.63","Japan"
"315","KLab","3656.T","92188053","2.06","Japan"
"316","gumi","3903.T","86516859","2.63","Japan"
"317","CAVE Interactive","3760.T","81572886","11.01","Japan"
"318","Sun Corp","6736.T","73766673","22.41","Japan"
"319","NJ Holdings","9421.T","72935345","4.15","Japan"
"320","OPTiM","3694.T","70884148","6.31","Japan"
"321","Drecom","3793.T","70795951","6.92","Japan"
"322","AlphaPolis","9467.T","70564435","13.01","Japan"
"323","Mynet","3928.T","67467666","2.22","Japan"
"324","PLAID,Inc.","4165.T","64887703","4.39","Japan"
"325","Appirits","4174.T","60252926","7.98","Japan"
"326","Nippon Ichi Software","3851.T","41430532","6.97","Japan"
"327","Imagineer","4644.T","40620680","6.46","Japan"
"328","coly","4175.T","37148510","6.22","Japan"
"329","Tose Software","4728.T","35753722","4.65","Japan"
"330","Silicon Studio","3907.T","32059711","7.56","Japan"
"331","TENDA","4198.T","31197260","14.87","Japan"
"332","Yuke's","4334.T","30351973","2.88","Japan"
"333","AltPlus","3672.T","29756790","0.87","Japan"
"334","Voltage","3639.T","26759522","1.72","Japan"
"335","enish","3667.T","25793073","1.46","Japan"
"336","Mobcast","3664.T","25089798","0.34","Japan"
"337","CyberStep","3810.T","24504460","1.78","Japan"
"338","Mobile Factory","3912.T","24118042","4.75","Japan"
"339","WonderPlanet","4199.T","22944165","7.9","Japan"
"340","Edia","3935.T","22245973","2.46","Japan"
"341","Nihon Falcom","3723.T","19655789","7.99","Japan"
"342","Gala Incorporated","4777.T","17272105","1.57","Japan"
"343","Axel Mark","3624.T","14815836","1.7","Japan"
"344","Pixie Dust Technologies","PXDT","5167041","2.4","Japan"
"345","Warrantee Inc.","WRNT","1825947","0.4335","Japan"
"346","Earlyworks","ELWS","341447","0.7","Japan"
